First Name	Last Name	Average	Absences
Kim	Jones	99	8
Chris	Wallace	98	3
Tupac	Shakur 98   1
Artis	Ivey	97	7
Robert	Van Winkle	89	9
Meliss	Elliot	87	2
Tracy	Marrow	85	3
Nasir	Jones	84	0
Earl	Simmons	82	12
Eric	Wright	81	6
David	Brown	78	2
Sean	Combs	67	4
William	Roberts	78	23
Chris 	Bridges	78	5
Dante	Smith	78	4
Tauheed	Epps	75	32
Cornell	Haynes	74	3
Jermaine	Denny	73	5
Sandra	Denton	71	2
Clifford	Smith	68	34
Calvin	Broadus	67	6
Talib	Greene	67	1
Marshal	Mathers	65	7
Sean 	Carter	56	7
Usher	Raymond	40	83
